Agente,Ganadas,PromedioTirosVictoria,PromedioTirosDerrota
Aleatorio,2076,90.486,61.4646
GoalBasedInsane,97924,61.4646,89.486
Aleatorio,1998,90.503,61.4454
GoalBasedInsane,98002,61.4454,89.503
Aleatorio,2036,90.1994,61.5081
GoalBasedInsane,97964,61.5081,89.1994
Aleatorio,2037,90.4678,61.4961
GoalBasedInsane,97963,61.4961,89.4678
Aleatorio,2094,90.1509,61.5086
GoalBasedInsane,97906,61.5086,89.1509
Aleatorio,2054,90.2283,61.4954
GoalBasedInsane,97946,61.4954,89.2283
Aleatorio,2074,90.0458,61.5132
GoalBasedInsane,97926,61.5132,89.0458
Aleatorio,2023,90.2936,61.4257
GoalBasedInsane,97977,61.4257,89.2936
Aleatorio,1989,90.277,61.5023
GoalBasedInsane,98011,61.5023,89.277
Aleatorio,2052,90.1788,61.4796
GoalBasedInsane,97948,61.4796,89.1788
Aleatorio,2046,90.1554,61.4382
GoalBasedInsane,97954,61.4382,89.1554
Aleatorio,1972,90.6572,61.463
GoalBasedInsane,98028,61.463,89.6572
Aleatorio,2060,90.7146,61.4822
GoalBasedInsane,97940,61.4822,89.7146
Aleatorio,2089,90.3164,61.4679
GoalBasedInsane,97911,61.4679,89.3164
Aleatorio,2080,90.5082,61.5057
GoalBasedInsane,97920,61.5057,89.5082
Aleatorio,1988,90.5926,61.4445
GoalBasedInsane,98012,61.4445,89.5926
Aleatorio,2020,90.3589,61.4616
GoalBasedInsane,97980,61.4616,89.3589
Aleatorio,2030,90.2448,61.4441
GoalBasedInsane,97970,61.4441,89.2448
Aleatorio,2004,90.2265,61.5298
GoalBasedInsane,97996,61.5298,89.2265
Aleatorio,2071,90.282,61.4651
GoalBasedInsane,97929,61.4651,89.282
Aleatorio,2035,90.5337,61.5341
GoalBasedInsane,97965,61.5341,89.5337
Aleatorio,1967,90.5196,61.5075
GoalBasedInsane,98033,61.5075,89.5196
Aleatorio,2094,90.6819,61.5641
GoalBasedInsane,97906,61.5641,89.6819
Aleatorio,2028,90.4063,61.4475
GoalBasedInsane,97972,61.4475,89.4063
Aleatorio,1991,90.3501,61.4441
GoalBasedInsane,98009,61.4441,89.3501
Aleatorio,2029,90.4963,61.4384
GoalBasedInsane,97971,61.4384,89.4963
Aleatorio,2030,90.4261,61.4758
GoalBasedInsane,97970,61.4758,89.4261
Aleatorio,2029,90.105,61.4581
GoalBasedInsane,97971,61.4581,89.105
Aleatorio,1979,90.3537,61.4987
GoalBasedInsane,98021,61.4987,89.3537
Aleatorio,1979,90.1991,61.473
GoalBasedInsane,98021,61.473,89.1991
Aleatorio,2048,90.3169,61.4644
GoalBasedInsane,97952,61.4644,89.3169
Aleatorio,2091,90.2726,61.4042
GoalBasedInsane,97909,61.4042,89.2726
Aleatorio,2016,90.501,61.4525
GoalBasedInsane,97984,61.4525,89.501
Aleatorio,2083,90.3164,61.4539
GoalBasedInsane,97917,61.4539,89.3164
Aleatorio,1938,90.4329,61.455
GoalBasedInsane,98062,61.455,89.4329
Aleatorio,2098,90.2355,61.4267
GoalBasedInsane,97902,61.4267,89.2355
Aleatorio,2056,90.2111,61.5013
GoalBasedInsane,97944,61.5013,89.2111
Aleatorio,2068,90.4599,61.4145
GoalBasedInsane,97932,61.4145,89.4599
Aleatorio,1984,90.3836,61.4979
GoalBasedInsane,98016,61.4979,89.3836
Aleatorio,2031,90.61,61.4168
GoalBasedInsane,97969,61.4168,89.61
Aleatorio,1954,90.4908,61.4831
GoalBasedInsane,98046,61.4831,89.4908
Aleatorio,2068,90.441,61.487
GoalBasedInsane,97932,61.487,89.441
Aleatorio,2013,90.545,61.4457
GoalBasedInsane,97987,61.4457,89.545
Aleatorio,1891,90.5383,61.4918
GoalBasedInsane,98109,61.4918,89.5383
Aleatorio,1939,90.3822,61.4419
GoalBasedInsane,98061,61.4419,89.3822
Aleatorio,1980,90.3712,61.4386
GoalBasedInsane,98020,61.4386,89.3712
Aleatorio,2054,90.5613,61.4599
GoalBasedInsane,97946,61.4599,89.5613
Aleatorio,2060,90.2437,61.5107
GoalBasedInsane,97940,61.5107,89.2437
Aleatorio,1970,90.4178,61.4401
GoalBasedInsane,98030,61.4401,89.4178
Aleatorio,2040,90.4289,61.559
GoalBasedInsane,97960,61.559,89.4289
Aleatorio,2030,90.1547,61.4791
GoalBasedInsane,97970,61.4791,89.1547
Aleatorio,2041,90.4439,61.5361
GoalBasedInsane,97959,61.5361,89.4439
Aleatorio,2012,90.4478,61.4618
GoalBasedInsane,97988,61.4618,89.4478
Aleatorio,2087,90.6814,61.5217
GoalBasedInsane,97913,61.5217,89.6814
Aleatorio,2053,90.3108,61.4363
GoalBasedInsane,97947,61.4363,89.3108
Aleatorio,2034,90.5752,61.4656
GoalBasedInsane,97966,61.4656,89.5752
Aleatorio,2025,90.4583,61.468
GoalBasedInsane,97975,61.468,89.4583
Aleatorio,1970,90.6228,61.5302
GoalBasedInsane,98030,61.5302,89.6228
Aleatorio,2012,90.497,61.4967
GoalBasedInsane,97988,61.4967,89.497
Aleatorio,2012,90.6441,61.4791
GoalBasedInsane,97988,61.4791,89.6441
Aleatorio,1956,90.3016,61.4423
GoalBasedInsane,98044,61.4423,89.3016
Aleatorio,2021,90.474,61.4019
GoalBasedInsane,97979,61.4019,89.474
Aleatorio,2028,90.5128,61.5241
GoalBasedInsane,97972,61.5241,89.5128
Aleatorio,2001,90.2944,61.5493
GoalBasedInsane,97999,61.5493,89.2944
Aleatorio,2015,90.1762,61.4765
GoalBasedInsane,97985,61.4765,89.1762
Aleatorio,2053,90.2007,61.418
GoalBasedInsane,97947,61.418,89.2007
Aleatorio,2075,90.4386,61.4947
GoalBasedInsane,97925,61.4947,89.4386
Aleatorio,2077,90.4858,61.5062
GoalBasedInsane,97923,61.5062,89.4858
Aleatorio,2004,90.5943,61.456
GoalBasedInsane,97996,61.456,89.5943
Aleatorio,2058,90.5466,61.4746
GoalBasedInsane,97942,61.4746,89.5466
Aleatorio,2047,90.3586,61.4649
GoalBasedInsane,97953,61.4649,89.3586
Aleatorio,1952,90.4196,61.5026
GoalBasedInsane,98048,61.5026,89.4196
Aleatorio,2054,90.2707,61.4599
GoalBasedInsane,97946,61.4599,89.2707
Aleatorio,2062,90.3482,61.4796
GoalBasedInsane,97938,61.4796,89.3482
Aleatorio,2011,90.6216,61.5095
GoalBasedInsane,97989,61.5095,89.6216
Aleatorio,2068,90.4028,61.4573
GoalBasedInsane,97932,61.4573,89.4028
Aleatorio,1985,90.4977,61.4009
GoalBasedInsane,98015,61.4009,89.4977
Aleatorio,1997,90.2879,61.4254
GoalBasedInsane,98003,61.4254,89.2879
Aleatorio,2054,90.4562,61.5008
GoalBasedInsane,97946,61.5008,89.4562
Aleatorio,1966,90.4476,61.4852
GoalBasedInsane,98034,61.4852,89.4476
Aleatorio,2007,90.5127,61.4528
